IDA ID	IDA Text	Unique Proteins	Representative Accession	Representative Length	Representative Domains
8ee71d46d1d5f0ce183218001d34286366af1563	PF01367:IPR020045-PF01612:IPR002562-PF00476:IPR001098	259	A4N3A0	743	PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[1-84],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[147-333],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[370-741]
3d3a3788e777591574299cea22c01088cd6355c8	PF03167:IPR005122-PF01612:IPR002562-PF00476:IPR001098	256	S5M8J1	944	PF03167{UDG}:IPR005122{Uracil-DNA_glycosylase-like}[38-177],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[267-411],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[500-888]
66adc560b86df3cd5240d0492e436f963d82d166	PF22619:IPR054690-PF00476:IPR001098	234	A6YI65	243	PF22619{DNA_polI_exo1}:IPR054690{DNA_polI_exonuclease}[8-110],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[151-241]
9181b17eb32b88dd7eb2af111678e8c5767e8cb2	PF01367:IPR020045-PF00476:IPR001098	106	G6C4Y5	722	PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[1-72],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[345-720]
a0330bc4b2b65787ecd7a0eb639c989755d4bfa5	PF02739:IPR020046-PF01367:IPR020045-PF09281:IPR015361-PF00476:IPR001098	104	P19821	832	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[14-173],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[175-260],PF09281{Taq-exonuc}:IPR015361{Taq_pol_thermo_exonuc}[295-420],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[454-828]
7a495b01c005316f5ddd1e5d2734e9003b886bbb	PF13482:IPR038720-PF00476:IPR001098	88	B4X9A8	586	PF13482{RNase_H_2}:IPR038720{YprB_RNase_H-like_dom}[3-111],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[248-584]
a3ca05c54325207bf26b38d5ec0fafb5499abe56	PF13481-PF01612:IPR002562-PF00476:IPR001098	88	Q8ILY1	2016	PF13481{AAA_25}[681-863],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[1447-1618],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1651-2013]
7099173a3cd2ec4b08f6beb72a31ffc31675d806	PF03167:IPR005122-PF00476:IPR001098	85	A0A0F9BXL2	537	PF03167{UDG}:IPR005122{Uracil-DNA_glycosylase-like}[23-167],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[397-537]
3022c7f7c31695e36eab2262d57672b1da7a46e2	PF01367:IPR020045-PF22619:IPR054690-PF00476:IPR001098	79	D4JCC4	687	PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[2-94],PF22619{DNA_polI_exo1}:IPR054690{DNA_polI_exonuclease}[143-227],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[315-685]
279800c7206566ea64770eb1c1267159015e377d	PF21099:IPR048960-PF00476:IPR001098	78	S8CNM2	1018	PF21099{POLQ_helical}:IPR048960{POLQ-like_helical}[2-129],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[654-990]
85c155f9c8b6d04bad26741b7e757ea9d75d17cd	PF18049:IPR040940-PF00476:IPR001098-PF00476:IPR001098	72	B7ZNQ7	848	PF18049{DNA_pol_P_Exo}:IPR040940{DNA_pol_P_Exo}[200-417],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[449-538],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[539-836]
a7a79e3d35f1604160cfa1e2986a48f4af335eb7	PF00271:IPR001650-PF20470:IPR046931-PF21099:IPR048960-PF00476:IPR001098	61	Q59EE4	2214	PF00271{Helicase_C}:IPR001650{Helicase_C-like}[27-109],PF20470{HTH_61}:IPR046931{HTH_61}[114-220],PF21099{POLQ_helical}:IPR048960{POLQ-like_helical}[249-409],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1722-2208]
71737e49a186c1394d5d6f98422d95e1c702cf2c	PF02739:IPR020046-PF02739:IPR020046-PF01367:IPR020045-PF22619:IPR054690-PF00476:IPR001098	53	E8UZ74	934	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[9-85],PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[92-194],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[196-290],PF22619{DNA_polI_exo1}:IPR054690{DNA_polI_exonuclease}[409-489],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[556-931]
6e837c39c9528cea7155cdf2972eefb4fe1a78d2	PF02739:IPR020046-PF01367:IPR020045-PF01612:IPR002562-PF01612:IPR002562-PF00476:IPR001098	47	A0A0S8E4P7	933	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[4-164],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[167-257],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[295-349],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[418-520],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[554-931]
95b279892b919eb4cc8630d106efd22f5f48bdd1	PF00270:IPR011545-PF00271:IPR001650-PF20470:IPR046931-PF21099:IPR048960-PF00476:IPR001098-PF00476:IPR001098	46	C5KCU8	1712	PF00270{DEAD}:IPR011545{DEAD/DEAH_box_helicase_dom}[34-199],PF00271{Helicase_C}:IPR001650{Helicase_C-like}[319-409],PF20470{HTH_61}:IPR046931{HTH_61}[415-497],PF21099{POLQ_helical}:IPR048960{POLQ-like_helical}[543-711],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1161-1298],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1451-1700]
718814d8b06ff17cb9125a429b574bd8548a5027	PF00929:IPR013520-PF00476:IPR001098	44	Q8MWB4	1404	PF00929{RNase_T}:IPR013520{Exonuclease_RNaseT/DNA_pol3}[764-942],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[994-1358]
9774212c287be4a7fdee48df4aeab21f6ebb0869	PF18136:IPR041336-PF18136:IPR041336-PF00476:IPR001098	40	A7F1X2	1146	PF18136{DNApol_Exo}:IPR041336{DNApol_Exo}[118-210],PF18136{DNApol_Exo}:IPR041336{DNApol_Exo}[211-340],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[670-940]
cf1a0c81f5213b207a1289bfddadce9775509410	PF02739:IPR020046-PF01367:IPR020045-PF01612:IPR002562-PF00476:IPR001098-PF00476:IPR001098	27	Q8I7W9	1369	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[274-398],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[460-553],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[656-842],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1040-1164],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1187-1367]
f91406987a91f15d8f0427d252619f101d55e5aa	PF20470:IPR046931-PF21099:IPR048960-PF00476:IPR001098	26	B0X3A0	1177	PF20470{HTH_61}:IPR046931{HTH_61}[29-67],PF21099{POLQ_helical}:IPR048960{POLQ-like_helical}[148-308],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[793-1171]
3b9dbcc32df5471409e3fbe020ebb9c70761fd08	PF00270:IPR011545-PF20470:IPR046931-PF21099:IPR048960-PF00476:IPR001098	20	A0A1S3FF85	2307	PF00270{DEAD}:IPR011545{DEAD/DEAH_box_helicase_dom}[107-201],PF20470{HTH_61}:IPR046931{HTH_61}[214-320],PF21099{POLQ_helical}:IPR048960{POLQ-like_helical}[349-509],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1815-2301]
9b8d3a66793f5b3827d8d137f32b2fec39ebaa5c	PF00270:IPR011545-PF00271:IPR001650-PF21099:IPR048960-PF00476:IPR001098	17	E1ZH26	1781	PF00270{DEAD}:IPR011545{DEAD/DEAH_box_helicase_dom}[347-457],PF00271{Helicase_C}:IPR001650{Helicase_C-like}[574-645],PF21099{POLQ_helical}:IPR048960{POLQ-like_helical}[782-951],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1702-1781]
21174c760a8b59437a684c1874321ac1856967b9	PF02739:IPR020046-PF01367:IPR020045-PF09281:IPR015361-PF09281:IPR015361-PF00476:IPR001098	14	P52027	956	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[48-208],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[209-296],PF09281{Taq-exonuc}:IPR015361{Taq_pol_thermo_exonuc}[364-405],PF09281{Taq-exonuc}:IPR015361{Taq_pol_thermo_exonuc}[412-547],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[579-953]
eade698d3aef48d8335f42b6cf2bfe9575f352e9	PF14932:IPR032733-PF18049:IPR040940-PF00476:IPR001098	14	L9KJ35	1143	PF14932{HAUS-augmin3}:IPR032733{HAUS3_N}[29-281],PF18049{DNA_pol_P_Exo}:IPR040940{DNA_pol_P_Exo}[674-869],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[915-1092]
3eae6f2e24a0280b7cc8e93b732517828983c0a1	PF02739:IPR020046-PF01367:IPR020045-PF00476:IPR001098-PF00476:IPR001098	13	M1VCW2	1451	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[296-452],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[475-557],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1020-1088],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1124-1446]
0df8a28079301f1c1cd52a4d0377831ecca03782	PF01612:IPR002562-PF14890-PF00476:IPR001098	12	A0A120HUP3	1464	PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[265-423],PF14890{Intein_splicing}[824-1125],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1124-1403]
20df56a50631439a2c1c7f4cd5c4d6fca59e87ae	PF13155-PF13481-PF01612:IPR002562-PF01612:IPR002562-PF00476:IPR001098	12	C0L7I2	2579	PF13155{Toprim_2}[813-880],PF13481{AAA_25}[1039-1207],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[1876-1947],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[2070-2145],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[2263-2577]
78ac442f55307a679e900af93baa5d5a8edbe04f	PF00270:IPR011545-PF00271:IPR001650-PF20470:IPR046931-PF21099:IPR048960-PF21099:IPR048960-PF00476:IPR001098	11	A0A067RGX5	1909	PF00270{DEAD}:IPR011545{DEAD/DEAH_box_helicase_dom}[24-181],PF00271{Helicase_C}:IPR001650{Helicase_C-like}[311-393],PF20470{HTH_61}:IPR046931{HTH_61}[398-488],PF21099{POLQ_helical}:IPR048960{POLQ-like_helical}[517-583],PF21099{POLQ_helical}:IPR048960{POLQ-like_helical}[586-661],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1591-1908]
ead62212b8ae0b60616d601c326b46be3e15121b	PF03167:IPR005122-PF01612:IPR002562-PF00476:IPR001098-PF00476:IPR001098	11	A0A0F9K9J1	806	PF03167{UDG}:IPR005122{Uracil-DNA_glycosylase-like}[22-155],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[183-373],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[416-648],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[675-784]
214e961ce041bfdee2ff732e7f10b775ed995a1d	PF01612:IPR002562-PF01612:IPR002562-PF00476:IPR001098	10	U3REX0	880	PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[20-133],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[258-436],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[471-877]
79b759802a8e83f116b516a013ca6cce77d21d6d	PF18049:IPR040940-PF18049:IPR040940-PF00476:IPR001098	10	A0A2K6U3Y6	816	PF18049{DNA_pol_P_Exo}:IPR040940{DNA_pol_P_Exo}[178-241],PF18049{DNA_pol_P_Exo}:IPR040940{DNA_pol_P_Exo}[262-340],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[372-777]
2d38d0d19502c9ae02829e88afcb951c450a91de	PF02739:IPR020046-PF01367:IPR020045-PF22619:IPR054690-PF00476:IPR001098-PF00476:IPR001098	9	D0L9T3	949	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[26-193],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[195-288],PF22619{DNA_polI_exo1}:IPR054690{DNA_polI_exonuclease}[364-459],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[534-679],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[720-946]
84eb5b4e8cfae7507e8990bb62b051e2badaef7e	PF01612:IPR002562-PF02037:IPR003034-PF02037:IPR003034-PF00476:IPR001098-PF00476:IPR001098	9	A0A6U5FU20	858	PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[40-186],PF02037{SAP}:IPR003034{SAP_dom}[328-359],PF02037{SAP}:IPR003034{SAP_dom}[372-405],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[540-650],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[670-855]
338b287eb0b34840de2ab0fd64fca2b1722c68f9	PF22619:IPR054690-PF00476:IPR001098-PF00476:IPR001098	8	A0A0Q2LZ32	458	PF22619{DNA_polI_exo1}:IPR054690{DNA_polI_exonuclease}[61-143],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[218-287],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[306-456]
463043f4a3cefdfc4707a372a904bc6df93bacc2	PF02739:IPR020046-PF01367:IPR020045-PF14520-PF00476:IPR001098	8	A0A377GXU0	905	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[6-156],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[175-271],PF14520{HHH_5}[197-241],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[527-903]
5ce0a00ea25211ae4eea4d03f6b849292bf81cb4	PF02739:IPR020046-PF00476:IPR001098-PF00476:IPR001098	8	W6ATU9	1322	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[72-179],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[850-1065],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1108-1286]
7595cb305c7e5b1e6a950c24a4f7d8c6ae5d09d1	PF09250:IPR015330-PF01612:IPR002562-PF00476:IPR001098	8	A0A2A2PXB6	1584	PF09250{Prim-Pol}:IPR015330{DNA_primase/pol_bifunc_N}[126-286],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[1030-1189],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1244-1583]
7b29ac9022f1e96d021141bff301707dd9822a7f	PF02739:IPR020046-PF01367:IPR020045-PF00476:IPR001098-PF01612:IPR002562-PF00476:IPR001098	8	A0A2G2R5Q4	1008	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[4-165],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[166-233],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[215-316],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[389-596],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[630-1006]
8e311017aa3f6edd7c23ed8d1a672e873f68eb37	PF00476:IPR001098-PF00476:IPR001098-PF00476:IPR001098	8	U6GEZ6	1243	PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[853-965],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1020-1128],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1131-1239]
c109ffc27ce3719488e862ec84ee9ed838a9bb52	PF02739:IPR020046-PF01367:IPR020045-PF14520-PF01612:IPR002562-PF00476:IPR001098	8	A0A0M9DTL0	939	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[3-171],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[177-268],PF14520{HHH_5}[196-222],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[346-527],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[559-937]
ffda4b27cd8c5c20d16d9df47ce7d617a7f615e2	PF01612:IPR002562-PF02037:IPR003034-PF00476:IPR001098-PF00476:IPR001098	8	A0A1Z5J7M8	1034	PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[209-365],PF02037{SAP}:IPR003034{SAP_dom}[506-540],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[697-826],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[846-1031]
25912ff798eb5779e9bb543867ef6a1f696abda0	PF18136:IPR041336-PF18136:IPR041336-PF18136:IPR041336-PF00476:IPR001098	7	A0A0D2WHZ0	1596	PF18136{DNApol_Exo}:IPR041336{DNApol_Exo}[127-174],PF18136{DNApol_Exo}:IPR041336{DNApol_Exo}[226-400],PF18136{DNApol_Exo}:IPR041336{DNApol_Exo}[421-484],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[941-1209]
5a1cbf68b658741141d3c6cb3d55a86968301e9b	PF00069:IPR000719-PF01612:IPR002562-PF00476:IPR001098-PF00476:IPR001098	7	D0MZ95	1054	PF00069{Pkinase}:IPR000719{Prot_kinase_dom}[27-198],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[318-526],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[722-842],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[871-1051]
9ea064b4a019294a990193554cf5a008385eab3a	PF18563:IPR041464-PF01612:IPR002562-PF00476:IPR001098	7	A0A401ZHF8	764	PF18563{TubC_N}:IPR041464{TubC_N}[5-53],PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[114-288],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[415-740]
a3b622d6bccc63391976c8935961b3d371e8523f	PF01152:IPR001486-PF00270:IPR011545-PF00271:IPR001650-PF20470:IPR046931-PF21099:IPR048960-PF00476:IPR001098	7	A0A0D3A2I5	2316	PF01152{Bac_globin}:IPR001486{Hemoglobin_trunc}[26-143],PF00270{DEAD}:IPR011545{DEAD/DEAH_box_helicase_dom}[703-877],PF00271{Helicase_C}:IPR001650{Helicase_C-like}[1009-1084],PF20470{HTH_61}:IPR046931{HTH_61}[1089-1180],PF21099{POLQ_helical}:IPR048960{POLQ-like_helical}[1204-1388],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1900-2308]
24f0a1f0e65e7e0e5ffb39978f54fafa2b7c42e7	PF02739:IPR020046-PF00476:IPR001098	6	R7HZK0	921	PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[4-162],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[544-919]
331b1791c8f9ae4bdf1ee91c230efadbe4143a48	PF02037:IPR003034-PF00476:IPR001098-PF00476:IPR001098	6	K0SDJ0	676	PF02037{SAP}:IPR003034{SAP_dom}[128-161],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[356-468],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[492-673]
3c2d3da038196b6e79de6d098696d7bfb2045c21	PF00476:IPR001098-PF02739:IPR020046-PF01367:IPR020045	6	W7TUD9	723	PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[177-255],PF02739{5_3_exonuc_N}:IPR020046{5-3_exonucl_a-hlix_arch_N}[406-576],PF01367{5_3_exonuc}:IPR020045{DNA_polI_H3TH}[578-654]
cd9db959507c91c1034cc0a805b90a8e38aa8561	PF01612:IPR002562-PF00476:IPR001098-PF00476:IPR001098-PF00476:IPR001098	6	A0A497RR85	1140	PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[263-388],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[533-667],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[801-875],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[927-1104]
0a3710c2dca51e9e073391f340575c297b32cceb	PF01612:IPR002562-PF00476:IPR001098-PF14890-PF14528:IPR004860-PF00476:IPR001098	5	A0A0F9WHX7	1200	PF01612{DNA_pol_A_exo1}:IPR002562{3'-5'_exonuclease_dom}[134-313],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[475-685],PF14890{Intein_splicing}[720-1020],PF14528{LAGLIDADG_3}:IPR004860{LAGLIDADG_dom}[891-966],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[1022-1196]
12cbbfcad53f6170aadd99b52e3bcb9a5963bffb	PF18136:IPR041336-PF00476:IPR001098-PF01176:IPR006196	5	A0A4S2KBY7	1404	PF18136{DNApol_Exo}:IPR041336{DNApol_Exo}[214-485],PF00476{DNA_pol_A}:IPR001098{DNA-dir_DNA_pol_A_palm_dom}[889-1165],PF01176{eIF-1a}:IPR006196{RNA-binding_domain_S1_IF1}[1272-1333]
